Target Intensity,BG,0,1,2,2-Tb,3,4,5,5-Tw,6,7
0.0,50.50,31.93,304.40,23.21,25.18,275.57,22.50,280.55,25.16,27.34,370.83
0.1,49.61,32.20,311.97,23.32,30.49,282.30,22.49,287.20,31.08,26.95,377.20
0.2,47.54,32.51,305.33,23.17,46.84,271.23,21.48,272.45,47.59,25.44,351.97
0.3,48.07,31.86,300.80,22.46,59.36,263.83,21.03,265.15,60.16,24.67,343.73
0.4,47.80,32.20,301.73,23.13,78.96,265.70,21.03,264.60,79.88,24.82,342.93
0.5,48.46,31.68,299.00,22.64,89.44,261.70,20.64,259.55,90.08,24.37,338.47
0.6,46.78,32.45,277.07,22.52,116.87,238.47,20.21,231.40,117.30,23.60,298.97
0.7,49.18,32.76,307.20,23.41,178.60,268.50,21.76,268.25,180.91,25.44,352.00
0.8,47.91,32.56,307.20,22.91,201.33,267.03,21.34,267.85,202.57,25.05,350.10
0.9,47.04,32.08,303.80,22.59,259.80,267.70,21.09,270.15,260.43,25.06,349.63
1.0,48.11,31.48,307.03,22.61,297.40,271.93,21.61,272.65,298.40,25.92,355.07